dataset,method,parameters,change_points,time_ms
uk_coal_employ,PELT,"penalty=0.03, jump=5, min_size=6",12;18;24;30;36;42;48;54;60;66;72;78;84;90;96;105,0.255
unemployment_nl,MicroWatch(idx=0),"{""new_dist_buffer_size"":24.0,""max_dist_size"":22.0,""threshold_ratio"":0.99366811,""batch_size"":3.0}",,0.010
unemployment_nl,MicroWatch(idx=1),"{""max_dist_size"":87.0,""threshold_ratio"":2.982100887,""new_dist_buffer_size"":7.0,""batch_size"":3.0}",132;141;183,0.049
unemployment_nl,MicroWatch(idx=2),"{""new_dist_buffer_size"":27.0,""threshold_ratio"":1.9585856,""batch_size"":5.0,""max_dist_size"":13.0}",50;130,0.010
unemployment_nl,MicroWatch(idx=3),"{""batch_size"":3.0,""threshold_ratio"":2.140085825,""max_dist_size"":27.0,""new_dist_buffer_size"":9.0}",132;141,0.019
unemployment_nl,MicroWatch(idx=4),"{""batch_size"":3.0,""new_dist_buffer_size"":9.0,""threshold_ratio"":3.914403415,""max_dist_size"":39.0}",132;141;183;198,0.035
unemployment_nl,MicroWatch(idx=5),"{""batch_size"":6.0,""threshold_ratio"":0.101505794,""new_dist_buffer_size"":50.0,""max_dist_size"":81.0}",54;120;180,0.019
unemployment_nl,MicroWatch(idx=6),"{""threshold_ratio"":1.296811807,""batch_size"":5.0,""max_dist_size"":72.0,""new_dist_buffer_size"":10.0}",10;20;40;70;85;100;115;130;140;180,0.027
unemployment_nl,BOCPD,"alpha=0.01, beta=0.5, kappa=2, mu=5",116;126;137;170;176;177,1.469
unemployment_nl,CUSUM,"twarmup=165, plimit=0.5989745179462147",40;77;128,0.004
unemployment_nl,PELT,"penalty=10, jump=8, min_size=1",143;175;214,3.763
usd_isk,MicroWatch(idx=0),"{""batch_size"":3.0,""threshold_ratio"":0.993889287,""max_dist_size"":60.0,""new_dist_buffer_size"":30.0}",30;117;246,0.034
usd_isk,MicroWatch(idx=1),"{""new_dist_buffer_size"":25.0,""max_dist_size"":19.0,""threshold_ratio"":2.465336954,""batch_size"":3.0}",33;117,0.016
usd_isk,MicroWatch(idx=2),"{""threshold_ratio"":1.288671441,""max_dist_size"":46.0,""new_dist_buffer_size"":33.0,""batch_size"":3.0}",69;114,0.021
usd_isk,MicroWatch(idx=3),"{""new_dist_buffer_size"":27.0,""threshold_ratio"":2.219617646,""max_dist_size"":25.0,""batch_size"":3.0}",33;117,0.011
usd_isk,MicroWatch(idx=4),"{""max_dist_size"":66.0,""threshold_ratio"":1.343401745,""new_dist_buffer_size"":32.0,""batch_size"":3.0}",33;117,0.043
usd_isk,MicroWatch(idx=5),"{""batch_size"":3.0,""threshold_ratio"":2.11266592,""max_dist_size"":50.0,""new_dist_buffer_size"":32.0}",72,0.024
usd_isk,MicroWatch(idx=6),"{""new_dist_buffer_size"":25.0,""batch_size"":3.0,""max_dist_size"":13.0,""threshold_ratio"":2.10463233}",33;117,0.010
usd_isk,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,2.455
usd_isk,CUSUM,"twarmup=167, plimit=0.13099419591541206",36;74;117;225,0.005
usd_isk,PELT,"penalty=20, jump=5, min_size=1",117;247,4.546
us_population,MicroWatch(idx=0),"{""new_dist_buffer_size"":43.0,""max_dist_size"":93.0,""threshold_ratio"":0.161443766,""batch_size"":4.0}",,0.041
us_population,MicroWatch(idx=1),"{""batch_size"":5.0,""threshold_ratio"":3.994571629,""max_dist_size"":91.0,""new_dist_buffer_size"":43.0}",245;465;710,0.075
us_population,MicroWatch(idx=2),"{""threshold_ratio"":3.99274097,""max_dist_size"":99.0,""batch_size"":4.0,""new_dist_buffer_size"":44.0}",276;500;776,0.079
us_population,MicroWatch(idx=3),"{""threshold_ratio"":3.830121693,""batch_size"":5.0,""new_dist_buffer_size"":10.0,""max_dist_size"":92.0}",255;480;740,0.083
us_population,MicroWatch(idx=4),"{""batch_size"":3.0,""new_dist_buffer_size"":17.0,""max_dist_size"":100.0,""threshold_ratio"":3.997566626}",156;312;465;627;798,0.272
us_population,MicroWatch(idx=5),"{""new_dist_buffer_size"":31.0,""max_dist_size"":91.0,""batch_size"":5.0,""threshold_ratio"":3.964920021}",235;450;680,0.093
us_population,MicroWatch(idx=6),"{""batch_size"":6.0,""new_dist_buffer_size"":17.0,""threshold_ratio"":1.164734686,""max_dist_size"":58.0}",18;36;54;72;90;108;126;144;162;180;198;216;234;252;270;288;306;324;342;360;378;396;414;432;450;468;486;504;522;540;558;576;594;612;630;648;666;684;702;720;738;756;774;792;810,0.054
us_population,BOCPD,"alpha=0.001, beta=0.001, kappa=0.1, mu=0",,21.628
us_population,CUSUM,"twarmup=81, plimit=0.7525625716673816",37;75;113;151;189;226;264;302;339;377;415;453;491;529;567;605;643;681;719;757;795,0.007
us_population,PELT,"penalty=300, jump=1, min_size=1",816,50.557
well_log,MicroWatch(idx=0),"{""threshold_ratio"":0.999498921,""max_dist_size"":14.0,""batch_size"":4.0,""new_dist_buffer_size"":46.0}",,0.026
well_log,MicroWatch(idx=1),"{""max_dist_size"":58.0,""new_dist_buffer_size"":3.0,""threshold_ratio"":1.664018272,""batch_size"":3.0}",3;174;180;255;282;288;312;342;402;414;423;432;462;657,0.101
well_log,MicroWatch(idx=2),"{""max_dist_size"":21.0,""batch_size"":3.0,""threshold_ratio"":0.268245963,""new_dist_buffer_size"":25.0}",147;174;201;237;267;294;321;348;375;402;429;462;522;552;582;609;636;666,0.034
well_log,MicroWatch(idx=3),"{""new_dist_buffer_size"":5.0,""batch_size"":6.0,""max_dist_size"":28.0,""threshold_ratio"":1.953409166}",402;462,0.026
well_log,MicroWatch(idx=4),"{""batch_size"":3.0,""max_dist_size"":93.0,""threshold_ratio"":0.423092414,""new_dist_buffer_size"":15.0}",180;195;237;282;309;342;384;399;414;429;462;657,0.139
well_log,MicroWatch(idx=5),"{""batch_size"":3.0,""max_dist_size"":12.0,""new_dist_buffer_size"":44.0,""threshold_ratio"":0.3797616}",180;255;312;402,0.032
well_log,MicroWatch(idx=6),"{""threshold_ratio"":1.015525056,""batch_size"":5.0,""max_dist_size"":54.0,""new_dist_buffer_size"":3.0}",180;195;460;655,0.037
well_log,BOCPD,"alpha=0.5, beta=0.001, kappa=0.1, mu=0",174,15.468
well_log,CUSUM,"twarmup=172, plimit=0.7543420749297682",193;452,0.031
well_log,PELT,"penalty=4, jump=1, min_size=9",171;180;252;279;315;342;396;423;432;459;675,12.421
